ccode,country,year,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
CC01,Angola,1995,231572.023,71548.797,17485.975,15413.435,40655.751,95666.838,162321.467,637862.812,173926.636,21549.266,37693,13,7508,3493699,38,317,168435,7944,1294,6052
CC01,Angola,1996,383343.297,149108.007,30296.982,41050.054,58709.556,142783.733,251949.73,683377.266,256095.91,43276.465,51454,61,4298,4743006,143,548,276283,6201,1228,11773
CC01,Angola,1997,406934.401,104587.691,43616.047,25673.701,39109.145,126949.732,456415.736,1030824.089,301866.56,61020.897,56387,7,2766,4566082,831,528,355134,15944,3084,6225
CC01,Angola,1998,345856.769,94283.934,27991.524,35923.469,41298.886,123265.381,290060.025,842113.644,215157.631,63054.736,43246,241,2103,3113487,743,698,357110,13241,2389,9735
CC01,Angola,1999,463679.133,107232.308,26685.348,50376.638,58533.618,145602.317,659913.415,1117210.776,265312.787,214460.658,44706,307,5180,4659096,565,1070,664629,10582,3656,7202
CC01,Angola,2000,567214.114,175152.713,37935.315,125523.026,75129.194,182569.284,391565.667,1083806.171,314664.777,86432.741,42140,52,10054,7014684,417,123,620051,7128,1368,5989
CC01,Angola,2001,474928.506,138648.472,26826.239,101215.179,47869.928,173262.574,357936.063,1551197.569,273246.219,33879.252,47265,174,9789,5737850,87,192,567730,8222,2091,6595
CC01,Angola,2002,661262.243,223419.454,40978.17,53575.82,80458.053,232098.187,518591.098,1554942.138,346896.096,47778.739,53381,39,10417,6894406,298,1917,517614,22152,3381,6389
CC01,Angola,2003,858738.756,376296.693,53442.258,95013.365,114189.726,311992.747,744250.769,2412708.68,454416.284,58950.722,11876,321,15886,8864950,1161,1482,316421,15148,3941,5812
CC01,Angola,2004,747004.392,244621.703,43829.047,51144.376,86566.606,280161.048,697753.486,3255194.051,378792.485,46932.808,18857,607,24982,12726141,2312,1598,169231,15372,4276,10620
CC01,Angola,2005,1018863.325,252722.487,72088.977,98598.913,122736.896,437159.815,1159320.188,3743012.016,570256.456,131672.042,40014.543,728.491,22242.542,22973318.21,3828.369,2787.587,531705.086,22410.854,4448.609,0
CC01,Angola,2006,947158.746,233312.002,58888.648,115584.068,87063.031,420518.727,1159623.577,3511889.082,552907.863,71759.192,44817.478,691.698,41037.299,30667940.77,4095.513,3466.839,651303.688,29799.926,5292.131,0
